Code	Country	variable	value
40	Austria	1750	0
56	Belgium	1750	0
250	France	1750	0
276	Germany	1750	0
442	Luxembourg	1750	0
528	Netherlands	1750	0
756	Switzerland	1750	0
208	Denmark	1750	0
233	Estonia	1750	0
234	Faeroe Islands	1750	0
246	Finland	1750	0
352	Iceland	1750	0
372	Ireland	1750	0
428	Latvia	1750	0
440	Lithuania	1750	0
578	Norway	1750	0
752	Sweden	1750	0
826	United Kingdom	1750	0.272902
8	Albania	1750	0
20	Andorra	1750	0
70	Bosnia and Herzegovina	1750	0
191	Croatia	1750	0
292	Gibraltar	1750	0
300	Greece	1750	0
380	Italy	1750	0
470	Malta	1750	0
620	Portugal	1750	0
705	Slovenia	1750	0
724	Spain	1750	0
112	Belarus	1750	0
100	Bulgaria	1750	0
203	Czech Republic	1750	0
348	Hungary	1750	0
616	Poland	1750	0
498	Republic of Moldova	1750	0
642	Romania	1750	0
643	Russian Federation	1750	0
703	Slovakia	1750	0
804	Ukraine	1750	0
60	Bermuda	1750	0
124	Canada	1750	0
304	Greenland	1750	0
666	Saint Pierre and Miquelon	1750	0
840	United States of America	1750	0
28	Antigua and Barbuda	1750	0
44	Bahamas	1750	0
52	Barbados	1750	0
92	British Virgin Islands	1750	0
136	Cayman Islands	1750	0
192	Cuba	1750	0
212	Dominica	1750	0
214	Dominican Republic	1750	0
308	Grenada	1750	0
312	Guadeloupe	1750	0
332	Haiti	1750	0
388	Jamaica	1750	0
474	Martinique	1750	0
500	Montserrat	1750	0
630	Puerto Rico	1750	0
662	Saint Lucia	1750	0
670	Saint Vincent and the Grenadines	1750	0
780	Trinidad and Tobago	1750	0
84	Belize	1750	0
188	Costa Rica	1750	0
222	El Salvador	1750	0
320	Guatemala	1750	0
340	Honduras	1750	0
484	Mexico	1750	0
558	Nicaragua	1750	0
591	Panama	1750	0
32	Argentina	1750	0
68	Bolivia (Plurinational State of)	1750	0
76	Brazil	1750	0
152	Chile	1750	0
170	Colombia	1750	0
218	Ecuador	1750	0
238	Falkland Islands (Malvinas)	1750	0
254	French Guiana	1750	0
328	Guyana	1750	0
600	Paraguay	1750	0
604	Peru	1750	0
740	Suriname	1750	0
858	Uruguay	1750	0
862	Venezuela (Bolivarian Republic of)	1750	0
36	Australia	1750	0
554	New Zealand	1750	0
242	Fiji	1750	0
540	New Caledonia	1750	0
598	Papua New Guinea	1750	0
90	Solomon Islands	1750	0
548	Vanuatu	1750	0
296	Kiribati	1750	0
584	Marshall Islands	1750	0
520	Nauru	1750	0
585	Palau	1750	0
184	Cook Islands	1750	0
258	French Polynesia	1750	0
570	Niue	1750	0
882	Samoa	1750	0
776	Tonga	1750	0
4	Afghanistan	1750	0
50	Bangladesh	1750	0
64	Bhutan	1750	0
356	India	1750	0
364	Iran (Islamic Republic of)	1750	0
462	Maldives	1750	0
524	Nepal	1750	0
586	Pakistan	1750	0
144	Sri Lanka	1750	0
156	China	1750	0
344	Hong Kong China	1750	0
446	China, Macao Special Administrative Region	1750	0
408	Democratic People's Republic of Korea	1750	0
392	Japan	1750	0
496	Mongolia	1750	0
410	Korea	1750	0
9002	Taiwan	1750	0
96	Brunei Darussalam	1750	0
116	Cambodia	1750	0
360	Indonesia	1750	0
418	Lao People's Democratic Republic	1750	0
458	Malaysia	1750	0
104	Myanmar	1750	0
608	Philippines	1750	0
702	Singapore	1750	0
764	Thailand	1750	0
704	Viet Nam	1750	0
51	Armenia	1750	0
31	Azerbaijan	1750	0
48	Bahrain	1750	0
196	Cyprus	1750	0
268	Georgia	1750	0
368	Iraq	1750	0
376	Israel	1750	0
400	Jordan	1750	0
414	Kuwait	1750	0
422	Lebanon	1750	0
275	Palestinian Authority	1750	0
512	Oman	1750	0
634	Qatar	1750	0
682	Saudi Arabia	1750	0
760	Syrian Arab Republic	1750	0
792	Turkey	1750	0
784	United Arab Emirates	1750	0
887	Yemen	1750	0
