"Code"	"Country"	"variable"	"value"
40	"Austria"	"1500"	0
56	"Belgium"	"1500"	1467
250	"France"	"1500"	0
276	"Germany"	"1500"	1146
528	"Netherlands"	"1500"	1454
756	"Switzerland"	"1500"	0
208	"Denmark"	"1500"	0
233	"Estonia"	"1500"	0
246	"Finland"	"1500"	0
372	"Ireland"	"1500"	0
428	"Latvia"	"1500"	0
440	"Lithuania"	"1500"	0
578	"Norway"	"1500"	0
752	"Sweden"	"1500"	0
826	"United Kingdom"	"1500"	1086
8	"Albania"	"1500"	0
70	"Bosnia and Herzegovina"	"1500"	0
191	"Croatia"	"1500"	0
300	"Greece"	"1500"	0
380	"Italy"	"1500"	1532
9001	"Kosovo"	"1500"	0
499	"Montenegro"	"1500"	0
620	"Portugal"	"1500"	0
688	"Serbia"	"1500"	0
705	"Slovenia"	"1500"	0
724	"Spain"	"1500"	846
807	"Former Yugoslav Republic of Macedonia"	"1500"	0
112	"Belarus"	"1500"	0
100	"Bulgaria"	"1500"	0
203	"Czech Republic"	"1500"	0
348	"Hungary"	"1500"	0
616	"Poland"	"1500"	0
498	"Republic of Moldova"	"1500"	0
642	"Romania"	"1500"	0
643	"Russian Federation"	"1500"	0
703	"Slovakia"	"1500"	0
804	"Ukraine"	"1500"	0
124	"Canada"	"1500"	0
840	"United States of America"	"1500"	0
192	"Cuba"	"1500"	0
214	"Dominican Republic"	"1500"	0
332	"Haiti"	"1500"	0
388	"Jamaica"	"1500"	0
630	"Puerto Rico"	"1500"	0
780	"Trinidad and Tobago"	"1500"	0
188	"Costa Rica"	"1500"	0
222	"El Salvador"	"1500"	0
320	"Guatemala"	"1500"	0
340	"Honduras"	"1500"	0
484	"Mexico"	"1500"	0
558	"Nicaragua"	"1500"	0
591	"Panama"	"1500"	0
32	"Argentina"	"1500"	0
68	"Bolivia (Plurinational State of)"	"1500"	0
76	"Brazil"	"1500"	0
152	"Chile"	"1500"	0
170	"Colombia"	"1500"	0
218	"Ecuador"	"1500"	0
600	"Paraguay"	"1500"	0
604	"Peru"	"1500"	0
858	"Uruguay"	"1500"	0
862	"Venezuela (Bolivarian Republic of)"	"1500"	0
36	"Australia"	"1500"	0
554	"New Zealand"	"1500"	0
4	"Afghanistan"	"1500"	0
50	"Bangladesh"	"1500"	0
356	"India"	"1500"	0
364	"Iran (Islamic Republic of)"	"1500"	0
524	"Nepal"	"1500"	0
586	"Pakistan"	"1500"	0
144	"Sri Lanka"	"1500"	0
156	"China"	"1500"	0
344	"Hong Kong China"	"1500"	0
408	"Democratic People's Republic of Korea"	"1500"	0
392	"Japan"	"1500"	0
496	"Mongolia"	"1500"	0
410	"Korea"	"1500"	0
9002	"Taiwan"	"1500"	0
116	"Cambodia"	"1500"	0
418	"Lao People's Democratic Republic"	"1500"	0
458	"Malaysia"	"1500"	0
104	"Myanmar"	"1500"	0
608	"Philippines"	"1500"	0
702	"Singapore"	"1500"	0
764	"Thailand"	"1500"	0
704	"Viet Nam"	"1500"	0
51	"Armenia"	"1500"	0
31	"Azerbaijan"	"1500"	0
48	"Bahrain"	"1500"	0
268	"Georgia"	"1500"	0
368	"Iraq"	"1500"	0
376	"Israel"	"1500"	0
400	"Jordan"	"1500"	0
414	"Kuwait"	"1500"	0
422	"Lebanon"	"1500"	0
275	"Palestinian Authority"	"1500"	0
512	"Oman"	"1500"	0
634	"Qatar"	"1500"	0
682	"Saudi Arabia"	"1500"	0
760	"Syrian Arab Republic"	"1500"	0
792	"Turkey"	"1500"	660
784	"United Arab Emirates"	"1500"	0
398	"Kazakhstan"	"1500"	0
417	"Kyrgyzstan"	"1500"	0
762	"Tajikistan"	"1500"	0
795	"Turkmenistan"	"1500"	0
